feature,importance
event_data_prop_ab3136ba_duration_mean,9.3
event_data_prop_9ed8f6da_duration_std,9.3
event_data_prop_6088b756_duration_max,9.3
event_data_prop_363c86c9_duration_sum,9.3
event_data_prop_5348fd84_duration_max,9.3
event_data_prop_c51d8688_duration_std,9.299999999999999
event_data_prop_2230fab4_duration_max,9.299999999999999
event_data_prop_e4f1efe6_duration_max,9.200000000000001
event_data_prop_b80e5e84_duration_std,9.200000000000001
event_data_prop_363d3849_total_duration_sum,9.2
event_data_prop_d3f1e122_duration_max,9.2
event_data_prop_89aace00_duration_mean,9.2
event_data_prop_b88f38da_duration_max,9.100000000000001
event_data_prop_9d4e7b25_duration_std,9.100000000000001
event_data_prop_67439901_total_duration_sum,9.1
event_data_prop_5290eab1_duration_mean,9.1
event_data_prop_69fdac0a_duration_sum,9.1
event_data_prop_f5b8c21a_duration_mean,9.1
event_data_prop_73757a5e_total_duration_std,9.1
event_data_prop_5348fd84_duration_mean,9.099999999999998
event_data_prop_16dffff1_duration_std,9.0
event_data_prop_923afab1_total_duration_sum,9.0
cnt_Game_sum,9.0
event_data_prop_363c86c9_duration_std,9.0
event_data_prop_08fd73f3_misses_mean,8.999999999999998
cnt_event_code_4045_sum,8.8
event_data_prop_38074c54_misses_mean,8.8
event_data_prop_2b9272f4_duration_mean,8.8
event_data_prop_9b4001e4_total_duration_mean,8.8
event_data_prop_a8a78786_duration_max,8.8
event_data_prop_f6947f54_duration_max,8.799999999999999
event_data_prop_b74258a0_misses_mean,8.799999999999999
event_data_prop_3bf1cf26_duration_std,8.700000000000001
event_data_prop_5348fd84_duration_std,8.700000000000001
event_data_prop_ac92046e_duration_sum,8.7
event_data_prop_5290eab1_duration_max,8.7
event_data_prop_7525289a_duration_max,8.7
event_data_prop_5f0eb72c_duration_max,8.7
event_data_prop_e57dd7af_duration_std,8.7
event_data_prop_b88f38da_duration_sum,8.7
event_data_prop_d51b1749_duration_std,8.7
event_data_prop_d3268efa_total_duration_std,8.600000000000001
event_data_prop_84b0e0c8_duration_max,8.6
event_data_prop_cf7638f3_duration_std,8.6
event_data_prop_7ec0c298_total_duration_max,8.6
event_data_prop_1c178d24_misses_mean,8.6
event_data_prop_9d29771f_total_duration_mean,8.6
event_data_prop_5de79a6a_total_duration_std,8.5
event_data_prop_709b1251_duration_mean,8.5
event_data_prop_3bf1cf26_duration_sum,8.5
event_data_prop_86ba578b_duration_mean,8.5
event_data_prop_e7561dd2_duration_std,8.5
event_data_prop_16dffff1_misses_std,8.4
event_data_prop_e7561dd2_duration_mean,8.4
event_data_prop_b2dba42b_total_duration_sum,8.4
event_data_prop_ad2fc29c_total_duration_max,8.4
event_data_prop_90ea0bac_total_duration_std,8.4
event_data_prop_c7128948_duration_std,8.399999999999999
event_data_prop_73757a5e_total_duration_mean,8.399999999999999
event_data_prop_562cec5f_duration_sum,8.3
event_data_prop_7525289a_duration_sum,8.3
